"","first_condition","1:1:compressed write","1:1:uncompressed pipe","1:1:uncompressed write","1:2:compressed pipe","1:2:compressed write","1:2:uncompressed pipe","1:2:uncompressed write","1:4:compressed pipe","1:4:compressed write","1:4:uncompressed pipe","1:4:uncompressed write","1:8:compressed pipe","1:8:compressed write","1:8:uncompressed pipe","1:8:uncompressed write","2:1:compressed pipe","2:1:compressed write","2:1:uncompressed pipe","2:1:uncompressed write","2:2:compressed pipe","2:2:compressed write","2:2:uncompressed pipe","2:2:uncompressed write","2:4:compressed pipe","2:4:compressed write","2:4:uncompressed pipe","2:4:uncompressed write","2:8:compressed pipe","2:8:compressed write","2:8:uncompressed pipe","2:8:uncompressed write","4:1:compressed pipe","4:1:compressed write","4:1:uncompressed pipe","4:1:uncompressed write","4:2:compressed pipe","4:2:compressed write","4:2:uncompressed pipe","4:2:uncompressed write","4:4:compressed pipe","4:4:compressed write","4:4:uncompressed pipe","4:4:uncompressed write","4:8:compressed pipe","4:8:compressed write","4:8:uncompressed pipe","4:8:uncompressed write","8:1:compressed pipe","8:1:compressed write","8:1:uncompressed pipe","8:1:uncompressed write","8:2:compressed pipe","8:2:compressed write","8:2:uncompressed pipe","8:2:uncompressed write","8:4:compressed pipe","8:4:compressed write","8:4:uncompressed pipe","8:4:uncompressed write","8:8:compressed pipe","8:8:compressed write","8:8:uncompressed pipe","8:8:uncompressed write","1:1:compressed pipe"
"1","1:1:compressed pipe",-14.3033333333334,-1.90666666666677,-6.75333333333346,-2.35000000000009,-16.0933333333334,-3.44000000000009,-8.86333333333344,-5.94333333333341,-17.5966666666667,-6.54333333333341,-10.99,-13.8133333333334,-25.2400000000001,-14.2166666666668,-9.93666666666677,15.2833333333332,-2.86666666666672,14.9699999999999,6.42333333333328,14.3433333333332,-3.5033333333334,14.2899999999999,6.83333333333325,12.0533333333333,-3.2333333333334,11.6199999999999,4.71666666666658,8.29333333333327,-6.54333333333342,7.26999999999992,4.86666666666658,22.5299999999999,2.20666666666656,22.5066666666666,14.7766666666666,22.1633333333332,1.3699999999999,21.6833333333332,14.4699999999999,21.1733333333332,0.156666666666567,20.8566666666666,13.0466666666666,19.9199999999999,-3.33666666666677,19.8899999999999,11.5933333333332,24.6233333333333,0.853333333333268,24.9999999999999,18.1199999999999,24.2233333333333,0.786666666666598,23.6899999999999,17.9033333333333,23.5333333333333,-0.400000000000063,23.2299999999999,16.3766666666666,22.4633333333333,-3.59000000000005,22.3533333333333,14.3633333333333,NA
"2","1:1:compressed write",NA,12.3966666666667,7.54999999999998,11.9533333333333,-1.78999999999998,10.8633333333334,5.44,8.36000000000003,-3.2933333333333,7.76000000000003,3.3133333333334,0.490000000000009,-10.9366666666666,0.0866666666666731,4.36666666666667,29.5866666666666,11.4366666666667,29.2733333333334,20.7266666666667,28.6466666666667,10.8,28.5933333333334,21.1366666666667,26.3566666666667,11.07,25.9233333333334,19.02,22.5966666666667,7.76000000000002,21.5733333333334,19.17,36.8333333333333,16.51,36.81,29.08,36.4666666666667,15.6733333333333,35.9866666666667,28.7733333333333,35.4766666666667,14.46,35.16,27.35,34.2233333333333,10.9666666666667,34.1933333333333,25.8966666666667,38.9266666666667,15.1566666666667,39.3033333333334,32.4233333333334,38.5266666666667,15.09,37.9933333333334,32.2066666666667,37.8366666666667,13.9033333333334,37.5333333333334,30.68,36.7666666666667,10.7133333333334,36.6566666666667,28.6666666666667,14.3033333333334
"3","1:1:uncompressed pipe",-12.3966666666667,NA,-4.84666666666669,-0.443333333333328,-14.1866666666667,-1.53333333333332,-6.95666666666668,-4.03666666666665,-15.69,-4.63666666666665,-9.08333333333327,-11.9066666666667,-23.3333333333333,-12.31,-8.03000000000001,17.1899999999999,-0.959999999999951,16.8766666666667,8.33000000000004,16.25,-1.59666666666664,16.1966666666667,8.74000000000002,13.96,-1.32666666666663,13.5266666666667,6.62333333333335,10.2,-4.63666666666666,9.17666666666669,6.77333333333335,24.4366666666667,4.11333333333332,24.4133333333333,16.6833333333333,24.07,3.27666666666666,23.59,16.3766666666667,23.08,2.06333333333333,22.7633333333333,14.9533333333333,21.8266666666667,-1.43,21.7966666666667,13.5,26.53,2.76000000000003,26.9066666666667,20.0266666666667,26.13,2.69333333333336,25.5966666666667,19.81,25.44,1.5066666666667,25.1366666666667,18.2833333333334,24.37,-1.68333333333329,24.26,16.27,1.90666666666677
"4","1:1:uncompressed write",-7.54999999999998,4.84666666666669,NA,4.40333333333336,-9.33999999999996,3.31333333333337,-2.10999999999999,0.810000000000045,-10.8433333333333,0.210000000000043,-4.23666666666658,-7.05999999999997,-18.4866666666666,-7.46333333333331,-3.18333333333332,22.0366666666666,3.88666666666674,21.7233333333334,13.1766666666667,21.0966666666667,3.25000000000006,21.0433333333334,13.5866666666667,18.8066666666667,3.52000000000006,18.3733333333334,11.47,15.0466666666667,0.210000000000036,14.0233333333334,11.62,29.2833333333333,8.96000000000002,29.26,21.53,28.9166666666667,8.12333333333336,28.4366666666667,21.2233333333334,27.9266666666667,6.91000000000003,27.61,19.8,26.6733333333333,3.41666666666669,26.6433333333334,18.3466666666667,31.3766666666667,7.60666666666673,31.7533333333334,24.8733333333334,30.9766666666667,7.54000000000006,30.4433333333334,24.6566666666667,30.2866666666667,6.3533333333334,29.9833333333334,23.1300000000001,29.2166666666667,3.16333333333341,29.1066666666667,21.1166666666667,6.75333333333346
"5","1:2:compressed pipe",-11.9533333333333,0.443333333333328,-4.40333333333336,NA,-13.7433333333333,-1.09,-6.51333333333335,-3.59333333333332,-15.2466666666666,-4.19333333333332,-8.63999999999994,-11.4633333333333,-22.89,-11.8666666666667,-7.58666666666668,17.6333333333333,-0.516666666666623,17.32,8.77333333333337,16.6933333333333,-1.15333333333331,16.64,9.18333333333334,14.4033333333334,-0.883333333333304,13.97,7.06666666666668,10.6433333333334,-4.19333333333333,9.62000000000002,7.21666666666668,24.88,4.55666666666665,24.8566666666667,17.1266666666667,24.5133333333333,3.71999999999999,24.0333333333333,16.82,23.5233333333333,2.50666666666666,23.2066666666667,15.3966666666667,22.27,-0.986666666666672,22.24,13.9433333333333,26.9733333333334,3.20333333333336,27.35,20.47,26.5733333333334,3.13666666666669,26.04,20.2533333333334,25.8833333333334,1.95000000000003,25.58,18.7266666666667,24.8133333333333,-1.23999999999996,24.7033333333334,16.7133333333334,2.35000000000009
"6","1:2:compressed write",1.78999999999998,14.1866666666667,9.33999999999996,13.7433333333333,NA,12.6533333333333,7.22999999999998,10.15,-1.50333333333332,9.55,5.10333333333338,2.27999999999999,-9.14666666666664,1.87666666666665,6.15666666666664,31.3766666666666,13.2266666666667,31.0633333333333,22.5166666666667,30.4366666666667,12.59,30.3833333333333,22.9266666666667,28.1466666666667,12.86,27.7133333333333,20.81,24.3866666666667,9.55,23.3633333333333,20.96,38.6233333333333,18.3,38.6,30.87,38.2566666666666,17.4633333333333,37.7766666666666,30.5633333333333,37.2666666666666,16.25,36.95,29.14,36.0133333333333,12.7566666666667,35.9833333333333,27.6866666666666,40.7166666666667,16.9466666666667,41.0933333333333,34.2133333333334,40.3166666666667,16.88,39.7833333333334,33.9966666666667,39.6266666666667,15.6933333333334,39.3233333333334,32.47,38.5566666666667,12.5033333333334,38.4466666666667,30.4566666666667,16.0933333333334
"7","1:2:uncompressed pipe",-10.8633333333334,1.53333333333332,-3.31333333333337,1.09,-12.6533333333333,NA,-5.42333333333335,-2.50333333333332,-14.1566666666667,-3.10333333333332,-7.54999999999995,-10.3733333333333,-21.8,-10.7766666666667,-6.49666666666668,18.7233333333333,0.573333333333373,18.41,9.86333333333337,17.7833333333333,-0.0633333333333113,17.73,10.2733333333333,15.4933333333334,0.206666666666692,15.06,8.15666666666667,11.7333333333334,-3.10333333333333,10.71,8.30666666666667,25.97,5.64666666666665,25.9466666666666,18.2166666666666,25.6033333333333,4.80999999999999,25.1233333333333,17.91,24.6133333333333,3.59666666666666,24.2966666666667,16.4866666666667,23.36,0.103333333333325,23.33,15.0333333333333,28.0633333333334,4.29333333333336,28.44,21.56,27.6633333333334,4.22666666666669,27.13,21.3433333333334,26.9733333333334,3.04000000000003,26.67,19.8166666666667,25.9033333333333,-0.149999999999963,25.7933333333334,17.8033333333334,3.44000000000009
"8","1:2:uncompressed write",-5.44,6.95666666666668,2.10999999999999,6.51333333333335,-7.22999999999998,5.42333333333335,NA,2.92000000000003,-8.7333333333333,2.32000000000003,-2.12666666666659,-4.94999999999999,-16.3766666666666,-5.35333333333332,-1.07333333333333,24.1466666666666,5.99666666666673,23.8333333333334,15.2866666666667,23.2066666666667,5.36000000000004,23.1533333333334,15.6966666666667,20.9166666666667,5.63000000000005,20.4833333333334,13.58,17.1566666666667,2.32000000000002,16.1333333333334,13.73,31.3933333333333,11.07,31.37,23.64,31.0266666666667,10.2333333333333,30.5466666666667,23.3333333333333,30.0366666666667,9.02000000000001,29.72,21.91,28.7833333333333,5.52666666666668,28.7533333333333,20.4566666666667,33.4866666666667,9.71666666666671,33.8633333333334,26.9833333333334,33.0866666666667,9.65000000000004,32.5533333333334,26.7666666666667,32.3966666666667,8.46333333333338,32.0933333333334,25.24,31.3266666666667,5.27333333333339,31.2166666666667,23.2266666666667,8.86333333333344
"9","1:4:compressed pipe",-8.36000000000003,4.03666666666665,-0.810000000000045,3.59333333333332,-10.15,2.50333333333332,-2.92000000000003,NA,-11.6533333333333,-0.600000000000001,-5.04666666666662,-7.87000000000002,-19.2966666666666,-8.27333333333335,-3.99333333333336,21.2266666666666,3.0766666666667,20.9133333333333,12.3666666666667,20.2866666666667,2.44000000000001,20.2333333333333,12.7766666666667,17.9966666666667,2.71000000000002,17.5633333333333,10.66,14.2366666666667,-0.600000000000009,13.2133333333333,10.81,28.4733333333333,8.14999999999997,28.45,20.72,28.1066666666666,7.31333333333331,27.6266666666666,20.4133333333333,27.1166666666666,6.09999999999998,26.8,18.99,25.8633333333333,2.60666666666665,25.8333333333333,17.5366666666666,30.5666666666667,6.79666666666668,30.9433333333333,24.0633333333333,30.1666666666667,6.73000000000001,29.6333333333334,23.8466666666667,29.4766666666667,5.54333333333335,29.1733333333333,22.32,28.4066666666667,2.35333333333336,28.2966666666667,20.3066666666667,5.94333333333341
"10","1:4:compressed write",3.2933333333333,15.69,10.8433333333333,15.2466666666666,1.50333333333332,14.1566666666667,8.7333333333333,11.6533333333333,NA,11.0533333333333,6.6066666666667,3.78333333333331,-7.64333333333332,3.37999999999997,7.65999999999997,32.8799999999999,14.73,32.5666666666667,24.02,31.94,14.0933333333333,31.8866666666667,24.43,29.65,14.3633333333333,29.2166666666667,22.3133333333333,25.89,11.0533333333333,24.8666666666667,22.4633333333333,40.1266666666666,19.8033333333333,40.1033333333333,32.3733333333333,39.76,18.9666666666666,39.28,32.0666666666666,38.77,17.7533333333333,38.4533333333333,30.6433333333333,37.5166666666666,14.26,37.4866666666666,29.19,42.22,18.45,42.5966666666667,35.7166666666667,41.82,18.3833333333333,41.2866666666667,35.5,41.13,17.1966666666667,40.8266666666667,33.9733333333333,40.06,14.0066666666667,39.95,31.96,17.5966666666667
"11","1:4:uncompressed pipe",-7.76000000000003,4.63666666666665,-0.210000000000043,4.19333333333332,-9.55,3.10333333333332,-2.32000000000003,0.600000000000001,-11.0533333333333,NA,-4.44666666666662,-7.27000000000002,-18.6966666666666,-7.67333333333335,-3.39333333333336,21.8266666666666,3.6766666666667,21.5133333333333,12.9666666666667,20.8866666666667,3.04000000000001,20.8333333333333,13.3766666666667,18.5966666666667,3.31000000000002,18.1633333333333,11.26,14.8366666666667,-7.105427357601e-15,13.8133333333333,11.41,29.0733333333333,8.74999999999997,29.05,21.32,28.7066666666666,7.91333333333331,28.2266666666666,21.0133333333333,27.7166666666666,6.69999999999998,27.4,19.59,26.4633333333333,3.20666666666665,26.4333333333333,18.1366666666666,31.1666666666667,7.39666666666668,31.5433333333333,24.6633333333333,30.7666666666667,7.33000000000001,30.2333333333334,24.4466666666667,30.0766666666667,6.14333333333335,29.7733333333333,22.92,29.0066666666667,2.95333333333336,28.8966666666667,20.9066666666667,6.54333333333341
"12","1:4:uncompressed write",-3.3133333333334,9.08333333333327,4.23666666666658,8.63999999999994,-5.10333333333338,7.54999999999995,2.12666666666659,5.04666666666662,-6.6066666666667,4.44666666666662,NA,-2.82333333333339,-14.25,-3.22666666666673,1.05333333333326,26.2733333333332,8.12333333333332,25.96,17.4133333333333,25.3333333333333,7.48666666666664,25.28,17.8233333333333,23.0433333333333,7.75666666666664,22.61,15.7066666666666,19.2833333333333,4.44666666666662,18.26,15.8566666666666,33.5199999999999,13.1966666666666,33.4966666666666,25.7666666666666,33.1533333333333,12.3599999999999,32.6733333333333,25.4599999999999,32.1633333333333,11.1466666666666,31.8466666666666,24.0366666666666,30.9099999999999,7.65333333333327,30.8799999999999,22.5833333333333,35.6133333333333,11.8433333333333,35.99,29.11,35.2133333333333,11.7766666666666,34.68,28.8933333333333,34.5233333333333,10.59,34.22,27.3666666666666,33.4533333333333,7.39999999999998,33.3433333333333,25.3533333333333,10.99
"13","1:8:compressed pipe",-0.490000000000009,11.9066666666667,7.05999999999997,11.4633333333333,-2.27999999999999,10.3733333333333,4.94999999999999,7.87000000000002,-3.78333333333331,7.27000000000002,2.82333333333339,NA,-11.4266666666666,-0.403333333333336,3.87666666666666,29.0966666666666,10.9466666666667,28.7833333333333,20.2366666666667,28.1566666666667,10.31,28.1033333333333,20.6466666666667,25.8666666666667,10.58,25.4333333333334,18.53,22.1066666666667,7.27000000000001,21.0833333333334,18.68,36.3433333333333,16.02,36.32,28.59,35.9766666666667,15.1833333333333,35.4966666666667,28.2833333333333,34.9866666666667,13.97,34.67,26.86,33.7333333333333,10.4766666666667,33.7033333333333,25.4066666666667,38.4366666666667,14.6666666666667,38.8133333333334,31.9333333333334,38.0366666666667,14.6,37.5033333333334,31.7166666666667,37.3466666666667,13.4133333333334,37.0433333333334,30.19,36.2766666666667,10.2233333333334,36.1666666666667,28.1766666666667,13.8133333333334
"14","1:8:compressed write",10.9366666666666,23.3333333333333,18.4866666666666,22.89,9.14666666666664,21.8,16.3766666666666,19.2966666666666,7.64333333333332,18.6966666666666,14.25,11.4266666666666,NA,11.0233333333333,15.3033333333333,40.5233333333332,22.3733333333333,40.21,31.6633333333333,39.5833333333333,21.7366666666667,39.53,32.0733333333333,37.2933333333333,22.0066666666667,36.86,29.9566666666666,33.5333333333333,18.6966666666666,32.51,30.1066666666666,47.77,27.4466666666666,47.7466666666666,40.0166666666666,47.4033333333333,26.61,46.9233333333333,39.71,46.4133333333333,25.3966666666666,46.0966666666666,38.2866666666666,45.1599999999999,21.9033333333333,45.13,36.8333333333333,49.8633333333333,26.0933333333333,50.24,43.36,49.4633333333333,26.0266666666667,48.93,43.1433333333333,48.7733333333333,24.84,48.47,41.6166666666667,47.7033333333333,21.65,47.5933333333333,39.6033333333333,25.2400000000001
"15","1:8:uncompressed pipe",-0.0866666666666731,12.31,7.46333333333331,11.8666666666667,-1.87666666666665,10.7766666666667,5.35333333333332,8.27333333333335,-3.37999999999997,7.67333333333335,3.22666666666673,0.403333333333336,-11.0233333333333,NA,4.27999999999999,29.4999999999999,11.3500000000001,29.1866666666667,20.64,28.56,10.7133333333334,28.5066666666667,21.05,26.27,10.9833333333334,25.8366666666667,18.9333333333334,22.51,7.67333333333335,21.4866666666667,19.0833333333333,36.7466666666667,16.4233333333333,36.7233333333333,28.9933333333333,36.38,15.5866666666667,35.9,28.6866666666667,35.39,14.3733333333333,35.0733333333333,27.2633333333333,34.1366666666667,10.88,34.1066666666667,25.81,38.84,15.07,39.2166666666667,32.3366666666667,38.44,15.0033333333334,37.9066666666667,32.12,37.75,13.8166666666667,37.4466666666667,30.5933333333334,36.68,10.6266666666667,36.57,28.58,14.2166666666668
"16","1:8:uncompressed write",-4.36666666666667,8.03000000000001,3.18333333333332,7.58666666666668,-6.15666666666664,6.49666666666668,1.07333333333333,3.99333333333336,-7.65999999999997,3.39333333333336,-1.05333333333326,-3.87666666666666,-15.3033333333333,-4.27999999999999,NA,25.2199999999999,7.07000000000006,24.9066666666667,16.36,24.28,6.43333333333337,24.2266666666667,16.77,21.99,6.70333333333338,21.5566666666667,14.6533333333334,18.23,3.39333333333335,17.2066666666667,14.8033333333334,32.4666666666667,12.1433333333333,32.4433333333333,24.7133333333333,32.1,11.3066666666667,31.62,24.4066666666667,31.11,10.0933333333333,30.7933333333333,22.9833333333333,29.8566666666667,6.60000000000001,29.8266666666667,21.53,34.5600000000001,10.79,34.9366666666667,28.0566666666667,34.16,10.7233333333334,33.6266666666667,27.84,33.47,9.53666666666671,33.1666666666667,26.3133333333334,32.4,6.34666666666672,32.29,24.3,9.93666666666677
"17","2:1:compressed pipe",-29.5866666666666,-17.1899999999999,-22.0366666666666,-17.6333333333333,-31.3766666666666,-18.7233333333333,-24.1466666666666,-21.2266666666666,-32.8799999999999,-21.8266666666666,-26.2733333333332,-29.0966666666666,-40.5233333333332,-29.4999999999999,-25.2199999999999,NA,-18.1499999999999,-0.313333333333258,-8.8599999999999,-0.939999999999937,-18.7866666666666,-0.993333333333261,-8.44999999999992,-3.22999999999991,-18.5166666666666,-3.66333333333325,-10.5666666666666,-6.98999999999991,-21.8266666666666,-8.01333333333325,-10.4166666666666,7.24666666666672,-13.0766666666666,7.22333333333338,-0.506666666666618,6.88000000000005,-13.9133333333333,6.40000000000005,-0.813333333333279,5.89000000000004,-15.1266666666666,5.57333333333339,-2.23666666666661,4.63666666666671,-18.6199999999999,4.60666666666673,-3.68999999999994,9.34000000000011,-14.4299999999999,9.71666666666675,2.83666666666675,8.94000000000009,-14.4966666666666,8.40666666666676,2.62000000000009,8.25000000000009,-15.6833333333332,7.94666666666676,1.09333333333343,7.18000000000008,-18.8733333333332,7.0700000000001,-0.919999999999909,-15.2833333333332
"18","2:1:compressed write",-11.4366666666667,0.959999999999951,-3.88666666666674,0.516666666666623,-13.2266666666667,-0.573333333333373,-5.99666666666673,-3.0766666666667,-14.73,-3.6766666666667,-8.12333333333332,-10.9466666666667,-22.3733333333333,-11.3500000000001,-7.07000000000006,18.1499999999999,NA,17.8366666666666,9.28999999999999,17.21,-0.636666666666684,17.1566666666666,9.69999999999997,14.92,-0.366666666666681,14.4866666666666,7.5833333333333,11.16,-3.6766666666667,10.1366666666666,7.7333333333333,25.3966666666666,5.07333333333327,25.3733333333333,17.6433333333333,25.0299999999999,4.23666666666661,24.5499999999999,17.3366666666666,24.0399999999999,3.02333333333328,23.7233333333333,15.9133333333333,22.7866666666666,-0.470000000000049,22.7566666666666,14.4599999999999,27.49,3.71999999999998,27.8666666666666,20.9866666666666,27.09,3.65333333333331,26.5566666666667,20.77,26.4,2.46666666666665,26.0966666666666,19.2433333333333,25.33,-0.723333333333336,25.22,17.23,2.86666666666672
"19","2:1:uncompressed pipe",-29.2733333333334,-16.8766666666667,-21.7233333333334,-17.32,-31.0633333333333,-18.41,-23.8333333333334,-20.9133333333333,-32.5666666666667,-21.5133333333333,-25.96,-28.7833333333333,-40.21,-29.1866666666667,-24.9066666666667,0.313333333333258,-17.8366666666666,NA,-8.54666666666664,-0.626666666666679,-18.4733333333333,-0.680000000000003,-8.13666666666667,-2.91666666666665,-18.2033333333333,-3.34999999999999,-10.2533333333333,-6.67666666666665,-21.5133333333333,-7.69999999999999,-10.1033333333333,7.55999999999997,-12.7633333333334,7.53666666666664,-0.19333333333336,7.1933333333333,-13.6,6.71333333333331,-0.500000000000021,6.2033333333333,-14.8133333333334,5.88666666666665,-1.92333333333335,4.94999999999997,-18.3066666666667,4.91999999999998,-3.37666666666669,9.65333333333336,-14.1166666666666,10.03,3.15000000000001,9.25333333333334,-14.1833333333333,8.72000000000002,2.93333333333334,8.56333333333334,-15.37,8.26000000000002,1.40666666666669,7.49333333333334,-18.56,7.38333333333335,-0.606666666666651,-14.9699999999999
"20","2:1:uncompressed write",-20.7266666666667,-8.33000000000004,-13.1766666666667,-8.77333333333337,-22.5166666666667,-9.86333333333337,-15.2866666666667,-12.3666666666667,-24.02,-12.9666666666667,-17.4133333333333,-20.2366666666667,-31.6633333333333,-20.64,-16.36,8.8599999999999,-9.28999999999999,8.54666666666664,NA,7.91999999999996,-9.92666666666668,7.86666666666664,0.409999999999975,5.62999999999999,-9.65666666666667,5.19666666666665,-1.70666666666669,1.86999999999999,-12.9666666666667,0.84666666666665,-1.55666666666669,16.1066666666666,-4.21666666666672,16.0833333333333,8.35333333333328,15.7399999999999,-5.05333333333338,15.26,8.04666666666662,14.7499999999999,-6.26666666666671,14.4333333333333,6.62333333333329,13.4966666666666,-9.76000000000004,13.4666666666666,5.16999999999996,18.2,-5.57000000000001,18.5766666666667,11.6966666666667,17.8,-5.63666666666668,17.2666666666667,11.48,17.11,-6.82333333333334,16.8066666666667,9.95333333333333,16.04,-10.0133333333333,15.93,7.93999999999999,-6.42333333333328
